staff_id,staff_name,hire_date,rating,employment_type,is_active
E001,Vincent Collins,2023-09-30,4.11,Part-time,Yes
E002,Aaron James,2014-01-18,3.29,Full-time,Yes
E003,Jonathan Harris,2014-09-27,4.01,Full-time,Yes
E004,Abigail Baker,2019-10-30,4.41,Full-time,Yes
E005,James Williams,2023-10-27,4.59,Full-time,Yes
E006,Eric Hall,2015-03-27,4.87,Contract,Yes
E007,Kendra Christensen,2019-07-11,3.4,Contract,Yes
E008,Michelle Koch,2023-06-14,4.44,Full-time,Yes
E009,Gabriel Rollins,2025-04-26,4.64,Full-time,No
E010,Nathaniel Day,2023-08-11,4.54,Full-time,Yes
E011,Russell Mcclain,2024-05-13,3.68,Part-time,Yes
E012,Morgan Burnett,2019-01-10,4.29,Full-time,No
E013,Joseph Gordon,2017-09-23,4.94,Full-time,Yes
E014,Regina Mckenzie,2024-10-03,3.43,Full-time,Yes
E015,Stephanie Vega,2024-05-30,4.31,Full-time,Yes
E016,Crystal Johnson,2021-03-11,4.6,Full-time,No
E017,Isaac Garcia,2023-11-27,3.79,Full-time,Yes
E018,Kristin Burton,2024-01-11,4.36,Contract,Yes
E019,Melanie Burns,2016-02-27,3.62,Full-time,Yes
E020,Robert Goodman,2015-09-18,3.73,Contract,Yes
E021,Kimberly Hopkins,2020-08-03,3.73,Contract,Yes
E022,Norman King,2017-05-23,4.19,Contract,No
E023,Derek Daniel,2019-07-03,4.06,Full-time,Yes
E024,Patrick Daugherty,2021-10-02,4.53,Part-time,Yes
E025,James Mendoza DDS,2021-02-02,3.68,Part-time,Yes
E026,Lisa Day,2014-01-31,4.04,Full-time,Yes
E027,Charles King,2019-05-29,4.53,Full-time,Yes
E028,Elizabeth Bradley,2018-12-17,4.35,Full-time,Yes
E029,Antonio Adams,2021-05-17,3.5,Contract,Yes
E030,Melissa Lowe,2013-08-26,4.4,Contract,Yes
E031,Jose Marshall,2025-06-06,3.88,Full-time,Yes
E032,Bryan English,2014-02-10,4.27,Part-time,Yes
E033,William Mayer,2016-02-10,4.24,Full-time,Yes
E034,Jimmy Wilkins,2014-02-06,4.65,Part-time,Yes
E035,Joanna Adams,2016-10-30,4.15,Full-time,Yes
E036,Tony Clark,2019-09-06,3.27,Full-time,Yes
E037,Brenda Warren,2018-11-02,3.48,Full-time,Yes
E038,Brandi Wilkins,2023-11-03,4.43,Full-time,Yes
E039,Stacie Warner,2016-10-02,3.98,Full-time,Yes
E040,Steven Tucker,2024-03-24,4.61,Part-time,Yes
E041,Aaron Vasquez,2017-12-08,4.22,Full-time,Yes
E042,Eric Taylor,2023-02-04,3.76,Full-time,Yes
E043,Eugene Larsen,2018-06-23,4.59,Full-time,Yes
E044,Paul Combs,2015-01-17,3.74,Full-time,Yes
E045,Timothy Marquez,2025-10-11,3.18,Full-time,Yes
E046,Donna Watson,2022-04-05,5.0,Full-time,Yes
E047,Zachary Lawrence,2017-09-17,3.24,Full-time,Yes
E048,Jeffrey Hill,2014-05-24,4.39,Full-time,Yes
E049,Brian Davenport,2021-01-29,4.52,Full-time,Yes
E050,Timothy Wright,2017-11-05,4.17,Full-time,No
E051,Jorge Lee,2021-08-17,3.34,Full-time,Yes
E052,Tyler Henson,2020-01-01,4.56,Contract,Yes
E053,Lynn Gentry,2013-06-28,3.45,Full-time,Yes
E054,Kirsten Ball,2023-08-14,3.5,Part-time,Yes
E055,Nicholas Hayes,2014-08-23,3.94,Full-time,No
E056,Maria Mitchell,2024-11-03,4.45,Contract,No
E057,Timothy Anderson,2018-07-29,4.24,Contract,Yes
E058,Greg Evans,2016-05-30,4.46,Full-time,Yes
E059,Vanessa Green,2023-04-05,3.9,Full-time,Yes
E060,Elizabeth Grant,2013-01-12,4.02,Contract,Yes
E061,Christopher Martin,2013-11-04,3.59,Full-time,Yes
E062,Taylor Crawford,2015-11-15,3.96,Full-time,Yes
E063,Terrance Davies,2022-10-24,4.37,Contract,Yes
E064,Charles Lee,2014-07-31,3.97,Full-time,No
E065,Glenn Davis,2017-04-20,4.31,Full-time,Yes
E066,David Hudson,2013-01-10,3.84,Full-time,Yes
E067,Nicole Gutierrez,2023-05-02,3.83,Full-time,Yes
E068,Joseph Bennett,2018-06-09,4.12,Full-time,Yes
E069,Antonio Ramirez,2018-07-17,4.01,Full-time,Yes
E070,Beth Gordon,2019-11-24,4.37,Full-time,Yes
E071,Shari Robinson,2022-06-03,4.18,Full-time,Yes
E072,David Ross,2022-07-09,4.88,Part-time,Yes
E073,Troy Allison,2013-10-07,4.0,Contract,Yes
E074,Alison Johnson,2021-02-16,4.0,Contract,Yes
E075,Stephanie Kennedy,2019-07-21,3.63,Contract,Yes
E076,April Myers,2017-08-09,4.11,Full-time,Yes
E077,Samantha Foley,2017-05-08,4.41,Full-time,Yes
E078,Danielle Rodriguez,2019-08-14,3.77,Full-time,Yes
E079,Joseph Fleming,2017-03-15,4.08,Contract,Yes
E080,Mindy Holland,2014-04-08,4.42,Part-time,Yes
E081,Judith Arnold,2021-10-29,4.04,Full-time,Yes
E082,Richard Hall,2026-05-16,3.87,Full-time,Yes
E083,Maria Torres,2014-05-08,4.54,Full-time,Yes
E084,David Fields,2020-01-18,4.14,Contract,No
E085,Ashley Jones,2016-09-18,4.28,Full-time,Yes
E086,Lauren Hughes,2024-10-09,4.63,Contract,Yes
E087,Kyle Smith,2021-06-29,4.62,Contract,No
E088,Joe Haley,2022-12-04,3.94,Full-time,Yes
E089,Stacey Alvarez,2019-04-12,3.86,Full-time,Yes
E090,David Yu,2015-10-11,4.23,Full-time,Yes
E091,Elizabeth Johnson,2021-07-12,4.04,Full-time,Yes
E092,Mr. Jason Scott DDS,2022-09-13,3.25,Full-time,Yes
E093,Cristina Johnson,2017-05-23,4.67,Full-time,No
E094,Jason Fleming,2017-05-01,4.11,Full-time,Yes
E095,Robert Stevenson,2023-08-24,4.43,Full-time,Yes
E096,Christine Booker,2022-01-29,3.57,Full-time,Yes
E097,Robert Hall,2014-05-28,4.68,Contract,Yes
E098,Philip Phillips,2017-05-16,3.84,Contract,No
E099,Kathleen Lopez,2020-08-09,4.05,Full-time,Yes
E100,Jason Ortega,2013-12-24,3.47,Full-time,Yes
E101,Brianna Long,2020-02-06,4.02,Part-time,Yes
E102,William Thomas,2026-05-11,4.0,Part-time,Yes
E103,Antonio Long,2014-06-20,4.02,Full-time,Yes
E104,Sophia Oconnor,2023-08-29,4.3,Contract,Yes
E105,Dr. Erin Lopez DVM,2021-09-02,4.13,Contract,No
E106,Amanda Beck,2024-01-26,4.54,Full-time,Yes
E107,James Rivera,2013-03-13,3.89,Contract,Yes
E108,Aaron Ramirez,2016-05-24,3.65,Full-time,Yes
E109,Tyler Martinez,2020-03-02,4.09,Full-time,Yes
E110,Christine Kelly,2026-05-13,4.38,Full-time,Yes
E111,Samantha Reynolds,2016-08-03,4.66,Full-time,Yes
E112,John Watson,2013-10-05,4.47,Full-time,Yes
E113,Cheryl Diaz,2016-08-09,3.31,Part-time,No
E114,Amanda Jenkins,2014-08-15,4.27,Full-time,Yes
E115,Pamela Williams,2015-03-01,4.76,Full-time,No
E116,Arthur Mora,2023-01-10,4.13,Full-time,Yes
E117,Paul Roach,2023-05-04,3.87,Full-time,Yes
E118,Dominic Rosario,2025-01-29,4.24,Contract,Yes
E119,Deborah Moran,2015-09-20,3.87,Contract,Yes
E120,Donald Smith,2019-04-08,4.39,Full-time,Yes
